order_id,customer_id,product,amount,order_date,status,order_year_month
107,333.0,SSD,141.0,2026-03-20,refunded,2026-03
108,294.0,Webcam,90.0,2025-04-19,pending,2025-04
109,951.0,USB Cable,26.0,2026-02-10,refunded,2026-02
110,166.0,USB Cable,14.0,2026-03-22,cancelled,2026-03
111,274.0,RAM,111.0,2025-05-08,refunded,2025-05
112,884.0,USB Cable,47.0,2026-02-28,refunded,2026-02
113,24.0,Keyboard,111.0,2025-05-22,pending,2025-05
114,718.0,Mouse,28.0,2025-12-28,pending,2025-12
115,960.0,Webcam,85.0,2026-03-09,completed,2026-03
116,784.0,Mouse,21.0,2025-12-31,cancelled,2025-12
117,954.0,Charger,44.0,2025-12-24,pending,2025-12
118,642.0,Keyboard,73.0,2025-07-29,pending,2025-07
119,882.0,USB Cable,55.0,2025-12-08,refunded,2025-12
120,958.0,Headphones,175.0,2025-11-11,refunded,2025-11
121,553.0,Keyboard,102.0,2025-08-05,refunded,2025-08
122,578.0,Charger,58.0,2025-04-14,cancelled,2025-04
123,233.0,Mouse,43.0,2025-08-12,cancelled,2025-08
124,311.0,Laptop,1190.0,2025-08-26,pending,2025-08
125,9.0,Webcam,110.0,2025-06-22,refunded,2025-06
126,818.0,Headphones,178.0,2025-09-14,pending,2025-09
127,194.0,Charger,81.0,2026-02-24,refunded,2026-02
128,755.0,Charger,78.0,2025-08-03,refunded,2025-08
129,641.0,Monitor,423.0,2025-12-07,cancelled,2025-12
130,829.0,Headphones,166.0,2025-04-03,pending,2025-04
131,297.0,Mouse,55.0,2025-11-22,refunded,2025-11
132,638.0,Webcam,80.0,2025-05-17,cancelled,2025-05
133,548.0,Laptop,1201.0,2025-10-31,completed,2025-10
134,449.0,Laptop,1204.0,2026-03-04,completed,2026-03
135,351.0,Charger,44.0,2025-05-16,refunded,2025-05
136,811.0,Laptop,1211.0,2025-06-22,completed,2025-06
137,58.0,Headphones,189.0,2025-10-21,refunded,2025-10
138,197.0,Headphones,192.0,2025-11-21,refunded,2025-11
139,787.0,Monitor,414.0,2025-05-22,refunded,2025-05
140,204.0,Webcam,97.0,2025-05-05,completed,2025-05
141,485.0,Charger,68.0,2025-04-26,cancelled,2025-04
142,746.0,Laptop,1237.0,2025-12-09,completed,2025-12
143,204.0,USB Cable,56.0,2025-08-11,completed,2025-08
144,116.0,Monitor,430.0,2025-12-07,refunded,2025-12
145,,RAM,77.0,2026-03-15,refunded,2026-03
146,44.0,RAM,120.0,2025-04-22,refunded,2025-04
147,790.0,Mouse,30.0,2026-02-20,pending,2026-02
148,347.0,Laptop,1193.0,2026-02-07,cancelled,2026-02
149,811.0,Mouse,23.0,2025-05-23,refunded,2025-05
150,,USB Cable,51.0,2025-08-27,refunded,2025-08
151,387.0,USB Cable,46.0,2025-12-02,pending,2025-12
152,724.0,Webcam,85.0,2025-09-23,cancelled,2025-09
153,581.0,Keyboard,99.0,2025-10-05,cancelled,2025-10
154,889.0,RAM,128.0,2026-02-11,pending,2026-02
155,303.0,Headphones,174.0,2025-10-24,cancelled,2025-10
156,519.0,Charger,71.0,2025-12-17,pending,2025-12
157,373.0,RAM,85.0,2025-12-24,cancelled,2025-12
158,552.0,Charger,37.0,2026-02-25,refunded,2026-02
159,290.0,USB Cable,26.0,2026-02-05,cancelled,2026-02
160,69.0,Laptop,1243.0,2025-05-02,pending,2025-05
161,110.0,Webcam,62.0,2025-10-19,completed,2025-10
162,398.0,Webcam,83.0,2026-01-09,cancelled,2026-01
163,736.0,Mouse,15.0,2026-01-16,pending,2026-01
164,853.0,Mouse,44.0,2025-06-30,completed,2025-06
165,912.0,Charger,77.0,2025-06-08,cancelled,2025-06
166,632.0,Headphones,173.0,2025-12-22,completed,2025-12
167,80.0,Monitor,423.0,2025-12-04,completed,2025-12
168,395.0,Monitor,402.0,2025-03-26,pending,2025-03
169,572.0,SSD,136.0,2025-05-24,completed,2025-05
170,691.0,Webcam,94.0,2025-09-19,refunded,2025-09
171,185.0,SSD,135.0,2025-04-28,cancelled,2025-04
172,615.0,Webcam,109.0,2026-01-01,cancelled,2026-01
173,333.0,USB Cable,26.0,2025-08-23,refunded,2025-08
174,247.0,RAM,104.0,2025-08-23,pending,2025-08
175,763.0,Headphones,163.0,2025-07-07,refunded,2025-07
176,744.0,Laptop,1208.0,2025-08-28,completed,2025-08
177,310.0,Laptop,1209.0,2025-05-27,pending,2025-05
178,791.0,Headphones,198.0,2025-05-31,pending,2025-05
179,160.0,Keyboard,81.0,2025-05-12,cancelled,2025-05
180,263.0,Headphones,145.0,2025-09-18,refunded,2025-09
181,80.0,USB Cable,50.0,2025-09-23,refunded,2025-09
182,707.0,RAM,122.0,2025-05-03,completed,2025-05
183,749.0,RAM,94.0,2025-10-17,completed,2025-10
184,343.0,USB Cable,56.0,2025-06-09,refunded,2025-06
185,891.0,Monitor,437.0,2025-06-05,completed,2025-06
186,56.0,Headphones,173.0,2025-12-23,completed,2025-12
187,335.0,SSD,154.0,2026-01-14,pending,2026-01
188,403.0,Webcam,98.0,2025-06-02,completed,2025-06
189,404.0,Keyboard,73.0,2026-03-18,cancelled,2026-03
190,51.0,SSD,135.0,2026-02-06,cancelled,2026-02
191,793.0,Keyboard,113.0,2025-09-01,pending,2025-09
192,405.0,RAM,82.0,2026-02-21,pending,2026-02
193,441.0,USB Cable,43.0,2025-05-02,completed,2025-05
194,375.0,USB Cable,12.0,2025-11-11,cancelled,2025-11
195,789.0,Headphones,150.0,2025-04-22,cancelled,2025-04
196,453.0,RAM,79.0,2025-04-24,refunded,2025-04
197,205.0,USB Cable,9.0,2025-05-08,completed,2025-05
198,972.0,RAM,129.0,2025-04-16,pending,2025-04
199,15.0,USB Cable,44.0,2025-04-03,completed,2025-04
200,340.0,Monitor,437.0,2025-06-17,pending,2025-06
201,265.0,SSD,140.0,2025-09-17,pending,2025-09
202,386.0,RAM,127.0,2025-12-27,completed,2025-12
203,206.0,RAM,87.0,2025-03-27,completed,2025-03
204,69.0,Charger,67.0,2025-06-29,cancelled,2025-06
205,369.0,Mouse,16.0,2026-03-08,cancelled,2026-03
206,237.0,Charger,57.0,2025-11-22,completed,2025-11
207,612.0,SSD,115.0,2026-01-06,pending,2026-01
208,575.0,Laptop,1192.0,2025-04-08,pending,2025-04
209,502.0,Charger,56.0,2025-06-09,pending,2025-06
210,364.0,Headphones,155.0,2026-01-07,cancelled,2026-01
211,900.0,Charger,81.0,2025-08-08,completed,2025-08
212,231.0,Keyboard,86.0,2025-09-30,refunded,2025-09
213,392.0,SSD,153.0,2026-03-11,pending,2026-03
214,437.0,Headphones,198.0,2025-06-29,cancelled,2025-06
215,669.0,Keyboard,102.0,2025-09-17,pending,2025-09
216,723.0,SSD,168.0,2025-12-26,pending,2025-12
217,789.0,Keyboard,106.0,2025-10-31,pending,2025-10
218,972.0,Mouse,26.0,2025-07-25,cancelled,2025-07
219,31.0,USB Cable,56.0,2025-11-28,refunded,2025-11
220,764.0,Headphones,149.0,2025-07-27,pending,2025-07
221,781.0,RAM,109.0,2025-07-17,cancelled,2025-07
222,611.0,Monitor,404.0,2025-06-19,completed,2025-06
223,489.0,Keyboard,97.0,2025-08-03,refunded,2025-08
224,873.0,Charger,56.0,2025-08-16,refunded,2025-08
225,34.0,Charger,73.0,2025-11-02,completed,2025-11
226,228.0,Monitor,438.0,2026-03-15,pending,2026-03
227,450.0,RAM,101.0,2026-02-06,cancelled,2026-02
228,438.0,Charger,74.0,2026-01-13,completed,2026-01
229,738.0,USB Cable,25.0,2025-03-25,completed,2025-03
230,847.0,Laptop,1246.0,2026-02-05,pending,2026-02
231,753.0,Laptop,1225.0,2025-08-18,refunded,2025-08
232,51.0,Monitor,408.0,2026-01-23,refunded,2026-01
233,848.0,Headphones,169.0,2026-02-25,pending,2026-02
234,56.0,SSD,167.0,2025-04-02,pending,2025-04
235,93.0,SSD,117.0,2025-05-07,pending,2025-05
236,713.0,SSD,118.0,2025-10-04,refunded,2025-10
237,184.0,Webcam,87.0,2026-03-07,pending,2026-03
238,332.0,Keyboard,110.0,2025-12-24,completed,2025-12
239,650.0,USB Cable,5.0,2025-06-22,refunded,2025-06
240,627.0,Keyboard,89.0,2025-09-05,refunded,2025-09
241,344.0,RAM,125.0,2025-11-30,pending,2025-11
242,788.0,Laptop,1216.0,2026-02-05,cancelled,2026-02
243,457.0,Headphones,180.0,2025-09-28,pending,2025-09
244,208.0,Laptop,1219.0,2025-11-20,cancelled,2025-11
245,511.0,SSD,161.0,2025-03-25,completed,2025-03
246,223.0,RAM,112.0,2025-11-12,refunded,2025-11
247,616.0,RAM,70.0,2026-03-03,pending,2026-03
248,644.0,SSD,162.0,2025-07-19,pending,2025-07
249,669.0,USB Cable,2.0,2025-11-10,pending,2025-11
250,859.0,RAM,89.0,2026-02-06,cancelled,2026-02
251,427.0,Keyboard,75.0,2026-03-13,cancelled,2026-03
252,610.0,RAM,120.0,2025-12-18,pending,2025-12
253,369.0,Laptop,1195.0,2025-11-27,cancelled,2025-11
254,840.0,Mouse,63.0,2025-06-17,refunded,2025-06
255,483.0,Keyboard,72.0,2025-09-17,cancelled,2025-09
256,215.0,Monitor,429.0,2025-12-19,completed,2025-12
257,645.0,SSD,115.0,2026-01-08,refunded,2026-01
258,808.0,Headphones,167.0,2025-07-29,cancelled,2025-07
259,639.0,USB Cable,59.0,2026-03-02,pending,2026-03
260,747.0,Webcam,81.0,2026-03-03,pending,2026-03
261,298.0,Monitor,390.0,2025-09-14,completed,2025-09
262,121.0,Monitor,441.0,2025-11-19,refunded,2025-11
263,574.0,Monitor,390.0,2025-12-05,pending,2025-12
264,70.0,Headphones,159.0,2025-04-29,cancelled,2025-04
265,342.0,USB Cable,25.0,2025-08-11,completed,2025-08
266,854.0,USB Cable,59.0,2025-11-01,refunded,2025-11
267,662.0,Keyboard,95.0,2025-12-09,pending,2025-12
268,550.0,USB Cable,29.0,2026-02-05,refunded,2026-02
269,,Headphones,176.0,2026-02-07,cancelled,2026-02
270,592.0,USB Cable,51.0,2026-01-05,cancelled,2026-01
271,861.0,Laptop,1211.0,2025-12-11,refunded,2025-12
272,585.0,RAM,94.0,2025-04-04,pending,2025-04
273,770.0,Headphones,185.0,2025-09-22,cancelled,2025-09
274,89.0,Webcam,106.0,2025-04-24,pending,2025-04
275,310.0,Monitor,423.0,2026-01-22,cancelled,2026-01
276,,Monitor,448.0,2026-03-23,completed,2026-03
277,495.0,SSD,119.0,2026-03-20,pending,2026-03
278,895.0,SSD,129.0,2025-09-10,cancelled,2025-09
279,842.0,SSD,153.0,2026-02-15,pending,2026-02
280,397.0,SSD,117.0,2026-03-08,completed,2026-03
281,869.0,RAM,125.0,2025-09-16,completed,2025-09
282,106.0,SSD,159.0,2025-10-07,cancelled,2025-10
283,655.0,Monitor,410.0,2025-06-21,pending,2025-06
284,327.0,Webcam,92.0,2025-05-25,completed,2025-05
285,118.0,Laptop,1229.0,2026-03-04,completed,2026-03
286,327.0,Headphones,149.0,2025-12-05,cancelled,2025-12
287,319.0,RAM,127.0,2025-05-01,cancelled,2025-05
288,30.0,Webcam,107.0,2026-03-22,completed,2026-03
289,437.0,Charger,36.0,2025-04-03,refunded,2025-04
290,838.0,Monitor,435.0,2026-02-27,completed,2026-02
291,477.0,RAM,78.0,2025-07-21,completed,2025-07
292,480.0,Mouse,44.0,2025-08-11,cancelled,2025-08
293,477.0,Webcam,64.0,2025-07-04,pending,2025-07
294,265.0,USB Cable,25.0,2025-12-12,pending,2025-12
295,808.0,USB Cable,29.0,2025-11-22,refunded,2025-11
296,360.0,Webcam,79.0,2026-03-07,pending,2026-03
297,589.0,Keyboard,97.0,2025-11-24,completed,2025-11
298,110.0,USB Cable,35.0,2025-11-22,completed,2025-11
299,411.0,RAM,96.0,2026-02-24,pending,2026-02
300,998.0,Webcam,74.0,2025-11-10,completed,2025-11
301,606.0,Charger,75.0,2025-09-20,refunded,2025-09
302,711.0,Monitor,401.0,2026-01-09,completed,2026-01
303,857.0,Webcam,57.0,2025-07-23,refunded,2025-07
304,456.0,Keyboard,84.0,2025-06-13,refunded,2025-06
305,834.0,RAM,119.0,2025-10-20,refunded,2025-10
306,63.0,Mouse,28.0,2026-02-25,pending,2026-02
307,652.0,Laptop,1238.0,2025-04-16,pending,2025-04
308,299.0,Charger,64.0,2025-07-27,refunded,2025-07
309,325.0,Headphones,176.0,2026-02-20,cancelled,2026-02
310,736.0,USB Cable,5.0,2025-12-20,completed,2025-12
311,868.0,Keyboard,119.0,2025-12-14,cancelled,2025-12
312,992.0,Laptop,1190.0,2025-11-18,cancelled,2025-11
313,32.0,Monitor,417.0,2026-01-05,refunded,2026-01
314,416.0,Charger,52.0,2026-03-12,pending,2026-03
315,193.0,SSD,134.0,2025-08-30,cancelled,2025-08
316,,Keyboard,73.0,2025-06-17,completed,2025-06
317,739.0,Webcam,92.0,2025-06-26,refunded,2025-06
318,141.0,Charger,80.0,2025-07-08,refunded,2025-07
319,953.0,Charger,64.0,2025-05-03,pending,2025-05
320,840.0,Webcam,74.0,2025-07-26,cancelled,2025-07
321,8.0,RAM,101.0,2025-10-26,pending,2025-10
322,949.0,SSD,146.0,2025-05-31,cancelled,2025-05
323,495.0,USB Cable,7.0,2026-03-03,refunded,2026-03
324,748.0,SSD,164.0,2025-10-19,cancelled,2025-10
325,912.0,RAM,75.0,2025-05-09,pending,2025-05
326,984.0,Mouse,58.0,2025-07-16,cancelled,2025-07
327,548.0,Laptop,1220.0,2025-08-10,refunded,2025-08
328,752.0,USB Cable,26.0,2025-12-18,cancelled,2025-12
329,297.0,Keyboard,67.0,2025-07-15,cancelled,2025-07
330,63.0,Webcam,87.0,2025-10-25,pending,2025-10
331,299.0,RAM,71.0,2025-06-01,cancelled,2025-06
332,79.0,Headphones,156.0,2025-08-13,pending,2025-08
333,264.0,Laptop,1237.0,2025-08-26,completed,2025-08
334,757.0,Keyboard,107.0,2025-12-31,refunded,2025-12
335,802.0,Monitor,421.0,2026-01-09,pending,2026-01
336,352.0,Mouse,24.0,2026-02-28,pending,2026-02
337,423.0,Charger,40.0,2025-05-09,refunded,2025-05
338,592.0,USB Cable,3.0,2025-11-21,cancelled,2025-11
339,172.0,Webcam,75.0,2025-10-26,refunded,2025-10
340,771.0,SSD,124.0,2025-05-02,refunded,2025-05
341,269.0,Keyboard,94.0,2025-03-27,refunded,2025-03
342,460.0,Charger,68.0,2026-01-29,cancelled,2026-01
343,43.0,Mouse,73.0,2025-07-17,cancelled,2025-07
344,941.0,Headphones,161.0,2026-01-16,cancelled,2026-01
345,671.0,RAM,95.0,2025-07-10,refunded,2025-07
346,752.0,RAM,119.0,2025-06-12,pending,2025-06
347,185.0,USB Cable,35.0,2025-11-27,completed,2025-11
348,13.0,Charger,31.0,2025-05-16,completed,2025-05
349,743.0,Headphones,156.0,2025-07-05,pending,2025-07
350,59.0,RAM,112.0,2025-12-22,pending,2025-12
351,726.0,Mouse,20.0,2026-01-28,pending,2026-01
352,664.0,RAM,121.0,2026-01-20,pending,2026-01
353,260.0,Headphones,169.0,2025-04-05,completed,2025-04
354,284.0,Charger,69.0,2025-07-19,cancelled,2025-07
355,284.0,Laptop,1214.0,2025-09-23,refunded,2025-09
356,979.0,Headphones,151.0,2025-12-01,refunded,2025-12
357,206.0,RAM,95.0,2025-07-02,pending,2025-07
358,554.0,Charger,38.0,2026-01-28,completed,2026-01
359,106.0,Laptop,1194.0,2025-10-20,completed,2025-10
360,457.0,Laptop,1247.0,2025-11-09,refunded,2025-11
361,956.0,Laptop,1232.0,2025-06-10,refunded,2025-06
362,927.0,Charger,61.0,2025-07-08,completed,2025-07
363,503.0,Webcam,77.0,2026-03-12,refunded,2026-03
364,805.0,Mouse,44.0,2025-04-14,pending,2025-04
365,838.0,Webcam,57.0,2026-01-14,cancelled,2026-01
366,57.0,Mouse,38.0,2025-05-18,cancelled,2025-05
367,785.0,Headphones,181.0,2025-12-11,pending,2025-12
368,394.0,Monitor,409.0,2026-01-28,refunded,2026-01
369,368.0,Webcam,55.0,2026-03-01,refunded,2026-03
370,198.0,Laptop,1236.0,2025-06-14,pending,2025-06
371,,Headphones,171.0,2025-12-18,refunded,2025-12
372,348.0,Laptop,1211.0,2026-02-24,completed,2026-02
373,670.0,SSD,139.0,2026-01-02,pending,2026-01
374,,Laptop,1237.0,2026-01-31,pending,2026-01
375,929.0,RAM,72.0,2025-12-15,pending,2025-12
376,177.0,Laptop,1247.0,2025-07-11,cancelled,2025-07
377,626.0,Keyboard,118.0,2026-01-16,completed,2026-01
378,510.0,RAM,121.0,2026-02-20,pending,2026-02
379,346.0,Charger,45.0,2025-05-21,completed,2025-05
380,141.0,USB Cable,53.0,2025-03-31,pending,2025-03
381,344.0,Mouse,22.0,2025-08-14,cancelled,2025-08
382,714.0,USB Cable,35.0,2025-08-25,pending,2025-08
383,,Keyboard,71.0,2025-09-13,refunded,2025-09
384,499.0,Mouse,15.0,2025-07-29,completed,2025-07
385,668.0,RAM,126.0,2025-08-14,cancelled,2025-08
386,792.0,Webcam,94.0,2025-04-19,pending,2025-04
387,536.0,Webcam,76.0,2025-12-14,pending,2025-12
388,39.0,RAM,81.0,2025-07-05,refunded,2025-07
389,847.0,Headphones,172.0,2026-02-24,refunded,2026-02
390,121.0,SSD,116.0,2025-12-05,cancelled,2025-12
391,520.0,Monitor,419.0,2025-10-10,pending,2025-10
392,816.0,Keyboard,108.0,2025-04-28,refunded,2025-04
393,945.0,Laptop,1193.0,2025-07-20,cancelled,2025-07
394,343.0,RAM,121.0,2026-01-07,refunded,2026-01
395,948.0,SSD,121.0,2026-02-03,pending,2026-02
396,119.0,Mouse,72.0,2025-04-12,pending,2025-04
397,334.0,Charger,37.0,2026-03-01,cancelled,2026-03
398,234.0,Mouse,30.0,2025-07-13,refunded,2025-07
399,226.0,Mouse,45.0,2025-11-18,refunded,2025-11
400,222.0,RAM,99.0,2025-10-21,pending,2025-10
401,738.0,Monitor,430.0,2025-09-01,cancelled,2025-09
402,131.0,Laptop,1234.0,2025-09-16,completed,2025-09
403,477.0,Webcam,76.0,2026-02-15,pending,2026-02
404,303.0,RAM,80.0,2025-06-08,pending,2025-06
405,236.0,Mouse,41.0,2026-01-12,refunded,2026-01
406,485.0,Webcam,67.0,2025-06-03,completed,2025-06
407,253.0,Monitor,410.0,2025-11-17,refunded,2025-11
408,606.0,Keyboard,123.0,2025-08-03,completed,2025-08
409,482.0,SSD,112.0,2026-01-31,refunded,2026-01
410,818.0,Mouse,43.0,2025-04-30,refunded,2025-04
411,13.0,Charger,85.0,2026-01-05,pending,2026-01
412,664.0,Mouse,16.0,2026-02-01,refunded,2026-02
413,471.0,RAM,117.0,2025-08-08,completed,2025-08
414,142.0,Charger,36.0,2026-03-18,cancelled,2026-03
415,2.0,Mouse,39.0,2025-11-27,cancelled,2025-11
416,771.0,Headphones,184.0,2025-05-24,pending,2025-05
417,902.0,USB Cable,47.0,2025-04-13,completed,2025-04
418,373.0,Laptop,1197.0,2025-08-01,refunded,2025-08
419,375.0,USB Cable,11.0,2025-09-13,completed,2025-09
420,142.0,USB Cable,15.0,2026-03-04,completed,2026-03
421,771.0,RAM,125.0,2025-05-05,pending,2025-05
422,329.0,USB Cable,57.0,2025-09-28,cancelled,2025-09
423,56.0,Mouse,38.0,2025-07-25,cancelled,2025-07
424,850.0,Mouse,45.0,2025-08-29,cancelled,2025-08
425,690.0,Mouse,27.0,2025-05-17,refunded,2025-05
426,184.0,Headphones,144.0,2025-12-13,completed,2025-12
427,152.0,Webcam,59.0,2025-06-21,pending,2025-06
428,301.0,Charger,68.0,2025-05-06,pending,2025-05
429,756.0,Laptop,1208.0,2025-08-16,pending,2025-08
430,238.0,SSD,151.0,2025-07-12,cancelled,2025-07
431,662.0,USB Cable,31.0,2025-10-28,refunded,2025-10
432,920.0,Headphones,150.0,2025-05-26,cancelled,2025-05
433,296.0,Laptop,1199.0,2025-12-21,cancelled,2025-12
434,634.0,Keyboard,110.0,2026-01-01,cancelled,2026-01
435,726.0,Keyboard,75.0,2026-03-21,pending,2026-03
436,589.0,Keyboard,93.0,2025-11-24,cancelled,2025-11
437,725.0,Laptop,1232.0,2025-04-25,cancelled,2025-04
438,,SSD,120.0,2025-09-09,cancelled,2025-09
439,954.0,Webcam,99.0,2026-01-17,pending,2026-01
440,160.0,Laptop,1237.0,2025-08-10,cancelled,2025-08
441,918.0,Headphones,200.0,2025-11-10,pending,2025-11
442,945.0,Webcam,71.0,2025-09-02,completed,2025-09
443,143.0,SSD,117.0,2025-03-28,cancelled,2025-03
444,226.0,Webcam,72.0,2025-05-05,completed,2025-05
445,200.0,RAM,103.0,2025-05-07,pending,2025-05
446,201.0,Laptop,1195.0,2025-11-13,refunded,2025-11
447,1000.0,SSD,135.0,2026-02-19,pending,2026-02
448,524.0,Laptop,1248.0,2025-06-14,cancelled,2025-06
449,438.0,USB Cable,29.0,2025-10-24,cancelled,2025-10
450,316.0,Webcam,105.0,2026-03-20,completed,2026-03
451,760.0,Charger,76.0,2025-09-15,refunded,2025-09
452,994.0,Charger,71.0,2025-12-02,refunded,2025-12
453,89.0,Keyboard,78.0,2025-04-27,cancelled,2025-04
454,344.0,Mouse,74.0,2025-10-26,refunded,2025-10
455,937.0,Headphones,166.0,2025-08-11,pending,2025-08
