order_id,customer_id,product,amount,order_date,status
118,642,Keyboard,73,2025-07-29,pending
119,882,USB Cable,55,2025-12-08,refunded
120,958,Headphones,175,2025-11-11,refunded
121,553,Keyboard,102,2025-08-05,refunded
122,578,Charger,58,2025-04-14,canceled
123,233,Mouse,43,2025-08-12,canceled
124,311,Laptop,1190,2025-08-26,pending
125,9,Webcam,110,2025-06-22,refunded
126,818,Headphones,178,2025-09-14,pending
127,194,Charger,81,2026-02-24,refunded
128,755,Charger,78,2025-08-03,refunded
129,641,Monitor,423,2025-12-07,canceled
130,829,Headphones,166,2025-04-03,pending
131,297,Mouse,55,2025-11-22,refunded
132,638,Webcam,,2025-05-17,canceled
133,548,Laptop,1201,2025-10-31,completed
134,449,Laptop,1204,2026-03-04,completed
135,351,Charger,44,2025-05-16,refunded
136,811,Laptop,1211,2025-06-22,completed
137,58,Headphones,189,2025-10-21,refunded
138,197,Headphones,192,2025-11-21,refunded
139,787,Monitor,414,2025-05-22,refunded
140,204,Webcam,97,2025-05-05,completed
141,485,Charger,68,2025-04-26,canceled
142,746,Laptop,1237,2025-12-09,completed
143,204,USB Cable,56,2025-08-11,completed
144,116,Monitor,430,2025-12-07,refunded
145,,RAM,77,2026-03-15,refunded
146,44,RAM,120,2025-04-22,refunded
147,790,Mouse,30,2026-02-20,pending
148,347,Laptop,1193,2026-02-07,canceled
149,811,Mouse,23,2025-05-23,refunded
150,,USB Cable,51,2025-08-27,refunded
151,387,USB Cable,46,2025-12-02,pending
152,724,Webcam,85,2025-09-23,canceled
153,581,Keyboard,99,2025-10-05,canceled
154,889,RAM,128,2026-02-11,pending
155,303,Headphones,174,2025-10-24,canceled
156,519,Charger,71,2025-12-17,pending
157,373,RAM,85,2025-12-24,canceled
158,552,Charger,37,2026-02-25,refunded
159,290,USB Cable,26,2026-02-05,canceled
160,69,Laptop,1243,2025-05-02,pending
161,110,Webcam,62,2025-10-19,completed
162,398,Webcam,83,2026-01-09,canceled
163,736,Mouse,15,2026-01-16,pending
164,853,Mouse,44,2025-06-30,completed
165,912,Charger,77,2025-06-08,canceled
166,632,Headphones,173,2025-12-22,completed
167,80,Monitor,423,2025-12-04,completed
168,395,Monitor,402,2025-03-26,pending
169,572,SSD,136,2025-05-24,completed
170,691,Webcam,94,2025-09-19,refunded
171,185,SSD,135,2025-04-28,canceled
172,615,Webcam,109,2026-01-01,canceled
173,333,USB Cable,26,2025-08-23,refunded
174,247,RAM,104,2025-08-23,pending
175,763,Headphones,163,2025-07-07,refunded
176,744,Laptop,1208,2025-08-28,completed
177,310,Laptop,1209,2025-05-27,pending
178,791,Headphones,198,2025-05-31,pending
179,160,Keyboard,81,2025-05-12,canceled
180,263,Headphones,145,2025-09-18,refunded
181,80,USB Cable,50,2025-09-23,refunded
182,707,RAM,122,2025-05-03,completed
183,749,RAM,94,2025-10-17,completed
184,343,USB Cable,56,2025-06-09,refunded
185,891,Monitor,437,2025-06-05,completed
186,56,Headphones,173,2025-12-23,completed
187,335,SSD,154,2026-01-14,pending
188,403,Webcam,98,2025-06-02,completed
189,404,Keyboard,73,2026-03-18,canceled
190,51,SSD,135,2026-02-06,canceled
191,793,Keyboard,113,2025-09-01,pending
192,405,RAM,82,2026-02-21,pending
193,441,USB Cable,43,2025-05-02,completed
194,375,USB Cable,12,2025-11-11,canceled
195,789,Headphones,150,2025-04-22,canceled
196,453,RAM,79,2025-04-24,refunded
197,205,USB Cable,9,2025-05-08,completed
198,972,RAM,129,2025-04-16,pending
199,15,USB Cable,44,2025-04-03,completed
200,340,Monitor,437,2025-06-17,pending
201,265,SSD,140,2025-09-17,pending
202,386,RAM,127,2025-12-27,completed
203,206,RAM,87,2025-03-27,completed
204,69,Charger,67,2025-06-29,canceled
205,369,Mouse,16,2026-03-08,canceled
206,237,Charger,57,2025-11-22,completed
207,612,SSD,115,2026-01-06,pending
208,575,Laptop,1192,2025-04-08,pending
209,502,Charger,,2025-06-09,pending
210,364,Headphones,155,2026-01-07,canceled
211,900,Charger,81,2025-08-08,completed
212,231,Keyboard,86,2025-09-30,refunded
213,392,SSD,153,2026-03-11,pending
214,437,Headphones,198,2025-06-29,canceled
215,669,Keyboard,102,2025-09-17,pending
216,723,SSD,168,2025-12-26,pending
217,789,Keyboard,106,2025-10-31,pending
218,972,Mouse,26,2025-07-25,canceled
219,31,USB Cable,56,2025-11-28,refunded
220,764,Headphones,149,2025-07-27,pending
221,781,RAM,109,2025-07-17,canceled
222,611,Monitor,404,2025-06-19,completed
223,489,Keyboard,97,2025-08-03,refunded
224,873,Charger,56,2025-08-16,refunded
225,34,Charger,73,2025-11-02,completed
226,228,Monitor,438,2026-03-15,pending
227,450,RAM,101,2026-02-06,canceled
228,438,Charger,74,2026-01-13,completed
229,738,USB Cable,25,2025-03-25,completed
230,847,Laptop,1246,2026-02-05,pending
231,753,Laptop,1225,2025-08-18,refunded
232,51,Monitor,408,2026-01-23,refunded
233,848,Headphones,169,2026-02-25,pending
234,56,SSD,167,2025-04-02,pending
235,93,SSD,117,2025-05-07,pending
236,713,SSD,118,2025-10-04,refunded
237,184,Webcam,87,2026-03-07,pending
238,332,Keyboard,110,2025-12-24,completed
239,650,USB Cable,5,2025-06-22,refunded
240,627,Keyboard,89,2025-09-05,refunded
241,344,RAM,125,2025-11-30,pending
242,788,Laptop,1216,2026-02-05,canceled
243,457,Headphones,180,2025-09-28,pending
244,208,Laptop,,2025-11-20,canceled
245,511,SSD,161,2025-03-25,completed
246,223,RAM,112,2025-11-12,refunded
247,616,RAM,70,2026-03-03,pending
248,644,SSD,162,2025-07-19,pending
249,669,USB Cable,2,2025-11-10,pending
250,859,RAM,89,2026-02-06,canceled
251,427,Keyboard,75,2026-03-13,canceled
252,610,RAM,120,2025-12-18,pending
253,369,Laptop,1195,2025-11-27,canceled
254,840,Mouse,63,2025-06-17,refunded
255,483,Keyboard,72,2025-09-17,canceled
256,215,Monitor,429,2025-12-19,completed
257,645,SSD,115,2026-01-08,refunded
258,808,Headphones,167,2025-07-29,canceled
259,639,USB Cable,59,2026-03-02,pending
260,747,Webcam,81,2026-03-03,pending
261,298,Monitor,390,2025-09-14,completed
262,121,Monitor,441,2025-11-19,refunded
263,574,Monitor,390,2025-12-05,pending
264,70,Headphones,159,2025-04-29,canceled
265,342,USB Cable,25,2025-08-11,completed
266,854,USB Cable,59,2025-11-01,refunded
267,662,Keyboard,95,2025-12-09,pending
268,550,USB Cable,29,2026-02-05,refunded
269,,Headphones,176,2026-02-07,canceled
270,592,USB Cable,51,2026-01-05,canceled
271,861,Laptop,1211,2025-12-11,refunded
272,585,RAM,94,2025-04-04,pending
273,770,Headphones,185,2025-09-22,canceled
274,89,Webcam,106,2025-04-24,pending
275,310,Monitor,423,2026-01-22,canceled
276,,Monitor,448,2026-03-23,completed
277,495,SSD,119,2026-03-20,pending
278,895,SSD,129,2025-09-10,canceled
279,842,SSD,153,2026-02-15,pending
280,397,SSD,117,2026-03-08,completed
281,869,RAM,125,2025-09-16,completed
282,106,SSD,159,2025-10-07,canceled
283,655,Monitor,410,2025-06-21,pending
284,327,Webcam,92,2025-05-25,completed
285,118,Laptop,1229,2026-03-04,completed
286,327,Headphones,149,2025-12-05,canceled
287,319,RAM,127,2025-05-01,canceled
288,30,Webcam,107,2026-03-22,completed
289,437,Charger,36,2025-04-03,refunded
290,838,Monitor,435,2026-02-27,completed
291,477,RAM,78,2025-07-21,completed
292,480,Mouse,44,2025-08-11,canceled
293,477,Webcam,64,2025-07-04,pending
294,265,USB Cable,25,2025-12-12,pending
295,808,USB Cable,29,2025-11-22,refunded
296,360,Webcam,79,2026-03-07,pending
297,589,Keyboard,97,2025-11-24,completed
298,110,USB Cable,35,2025-11-22,completed
299,411,RAM,96,2026-02-24,pending
300,998,Webcam,74,2025-11-10,completed
301,606,Charger,75,2025-09-20,refunded
302,711,Monitor,401,2026-01-09,completed
303,857,Webcam,57,2025-07-23,refunded
304,456,Keyboard,84,2025-06-13,refunded
305,834,RAM,119,2025-10-20,refunded
306,63,Mouse,28,2026-02-25,pending
307,652,Laptop,1238,2025-04-16,pending
308,299,Charger,64,2025-07-27,refunded
309,325,Headphones,176,2026-02-20,canceled
310,736,USB Cable,5,2025-12-20,completed
311,868,Keyboard,119,2025-12-14,canceled
312,992,Laptop,1190,2025-11-18,canceled
313,32,Monitor,417,2026-01-05,refunded
314,416,Charger,52,2026-03-12,pending
315,193,SSD,134,2025-08-30,canceled
316,,Keyboard,73,2025-06-17,completed
317,739,Webcam,92,2025-06-26,refunded
318,141,Charger,80,2025-07-08,refunded
319,953,Charger,64,2025-05-03,pending
320,840,Webcam,74,2025-07-26,canceled
321,8,RAM,101,2025-10-26,pending
322,949,SSD,146,2025-05-31,canceled
323,495,USB Cable,7,2026-03-03,refunded
324,748,SSD,164,2025-10-19,canceled
325,912,RAM,75,2025-05-09,pending
326,984,Mouse,58,2025-07-16,canceled
327,548,Laptop,1220,2025-08-10,refunded
328,752,USB Cable,26,2025-12-18,canceled
329,297,Keyboard,67,2025-07-15,canceled
330,63,Webcam,87,2025-10-25,pending
331,299,RAM,71,2025-06-01,canceled
332,79,Headphones,156,2025-08-13,pending
333,264,Laptop,1237,2025-08-26,completed
334,757,Keyboard,107,2025-12-31,refunded
335,802,Monitor,421,2026-01-09,pending
336,352,Mouse,24,2026-02-28,pending
337,423,Charger,40,2025-05-09,refunded
338,592,USB Cable,3,2025-11-21,canceled
339,172,Webcam,75,2025-10-26,refunded
340,771,SSD,124,2025-05-02,refunded
341,269,Keyboard,,2025-03-27,refunded
342,460,Charger,68,2026-01-29,canceled
343,43,Mouse,73,2025-07-17,canceled
344,941,Headphones,161,2026-01-16,canceled
345,671,RAM,95,2025-07-10,refunded
346,752,RAM,119,2025-06-12,pending
347,185,USB Cable,35,2025-11-27,completed
348,13,Charger,31,2025-05-16,completed
349,743,Headphones,156,2025-07-05,pending
350,59,RAM,112,2025-12-22,pending
351,726,Mouse,20,2026-01-28,pending
352,664,RAM,121,2026-01-20,pending
353,260,Headphones,169,2025-04-05,completed
354,284,Charger,69,2025-07-19,canceled
355,284,Laptop,1214,2025-09-23,refunded
356,979,Headphones,151,2025-12-01,refunded
357,206,RAM,95,2025-07-02,pending
358,554,Charger,38,2026-01-28,completed
359,106,Laptop,1194,2025-10-20,completed
360,457,Laptop,1247,2025-11-09,refunded
361,956,Laptop,1232,2025-06-10,refunded
362,927,Charger,61,2025-07-08,completed
363,503,Webcam,77,2026-03-12,refunded
364,805,Mouse,,2025-04-14,pending
365,838,Webcam,57,2026-01-14,canceled
366,57,Mouse,38,2025-05-18,canceled
367,785,Headphones,181,2025-12-11,pending
368,394,Monitor,409,2026-01-28,refunded
369,368,Webcam,55,2026-03-01,refunded
370,198,Laptop,1236,2025-06-14,pending
371,,Headphones,171,2025-12-18,refunded
372,348,Laptop,1211,2026-02-24,completed
373,670,SSD,139,2026-01-02,pending
374,,Laptop,1237,2026-01-31,pending
375,929,RAM,72,2025-12-15,pending
376,177,Laptop,1247,2025-07-11,canceled
377,626,Keyboard,118,2026-01-16,completed
378,510,RAM,121,2026-02-20,pending
379,346,Charger,45,2025-05-21,completed
380,141,USB Cable,53,2025-03-31,pending
381,344,Mouse,22,2025-08-14,canceled
382,714,USB Cable,35,2025-08-25,pending
383,,Keyboard,71,2025-09-13,refunded
384,499,Mouse,15,2025-07-29,completed
385,668,RAM,126,2025-08-14,canceled
386,792,Webcam,94,2025-04-19,pending
387,536,Webcam,76,2025-12-14,pending
388,39,RAM,81,2025-07-05,refunded
389,847,Headphones,,2026-02-24,refunded
390,121,SSD,116,2025-12-05,canceled
391,520,Monitor,419,2025-10-10,pending
392,816,Keyboard,108,2025-04-28,refunded
393,945,Laptop,1193,2025-07-20,canceled
394,343,RAM,121,2026-01-07,refunded
395,948,SSD,121,2026-02-03,pending
396,119,Mouse,72,2025-04-12,pending
397,334,Charger,37,2026-03-01,canceled
398,234,Mouse,30,2025-07-13,refunded
399,226,Mouse,45,2025-11-18,refunded
400,222,RAM,99,2025-10-21,pending
401,738,Monitor,430,2025-09-01,canceled
402,131,Laptop,1234,2025-09-16,completed
403,477,Webcam,76,2026-02-15,pending
404,303,RAM,80,2025-06-08,pending
405,236,Mouse,41,2026-01-12,refunded
406,485,Webcam,67,2025-06-03,completed
407,253,Monitor,410,2025-11-17,refunded
408,606,Keyboard,123,2025-08-03,completed
409,482,SSD,112,2026-01-31,refunded
410,818,Mouse,43,2025-04-30,refunded
411,13,Charger,85,2026-01-05,pending
412,664,Mouse,16,2026-02-01,refunded
413,471,RAM,117,2025-08-08,completed
414,142,Charger,36,2026-03-18,canceled
415,2,Mouse,39,2025-11-27,canceled
416,771,Headphones,184,2025-05-24,pending
417,902,USB Cable,47,2025-04-13,completed
418,373,Laptop,1197,2025-08-01,refunded
419,375,USB Cable,11,2025-09-13,completed
420,142,USB Cable,15,2026-03-04,completed
421,771,RAM,125,2025-05-05,pending
422,329,USB Cable,57,2025-09-28,canceled
423,56,Mouse,38,2025-07-25,canceled
424,850,Mouse,45,2025-08-29,canceled
425,690,Mouse,27,2025-05-17,refunded
426,184,Headphones,144,2025-12-13,completed
427,152,Webcam,59,2025-06-21,pending
428,301,Charger,68,2025-05-06,pending
429,756,Laptop,1208,2025-08-16,pending
430,238,SSD,151,2025-07-12,canceled
431,662,USB Cable,31,2025-10-28,refunded
432,920,Headphones,150,2025-05-26,canceled
433,296,Laptop,1199,2025-12-21,canceled
434,634,Keyboard,110,2026-01-01,canceled
435,726,Keyboard,75,2026-03-21,pending
436,589,Keyboard,93,2025-11-24,canceled
437,725,Laptop,1232,2025-04-25,canceled
438,,SSD,120,2025-09-09,canceled
439,954,Webcam,99,2026-01-17,pending
440,160,Laptop,1237,2025-08-10,canceled
441,918,Headphones,200,2025-11-10,pending
442,945,Webcam,71,2025-09-02,completed
443,143,SSD,117,2025-03-28,canceled
444,226,Webcam,72,2025-05-05,completed
445,200,RAM,103,2025-05-07,pending
446,201,Laptop,1195,2025-11-13,refunded
447,1000,SSD,135,2026-02-19,pending
448,524,Laptop,1248,2025-06-14,canceled
449,438,USB Cable,,2025-10-24,canceled
450,316,Webcam,105,2026-03-20,completed
451,760,Charger,76,2025-09-15,refunded
452,994,Charger,71,2025-12-02,refunded
453,89,Keyboard,78,2025-04-27,canceled
454,344,Mouse,74,2025-10-26,refunded
455,937,Headphones,166,2025-08-11,pending
456,774,Keyboard,77,2026-03-24,pending
457,503,Laptop,1242,2025-12-06,canceled
458,573,Webcam,64,2025-07-11,completed
459,308,Webcam,57,2025-05-08,canceled
460,705,Monitor,391,2025-07-21,completed
461,994,Mouse,53,2025-12-10,canceled
462,890,Headphones,180,2026-02-02,refunded
463,383,SSD,156,2025-10-06,completed
464,60,Keyboard,85,2025-08-19,refunded
465,168,Laptop,1207,2025-12-05,canceled
466,365,Laptop,1208,2025-08-15,canceled
467,527,Monitor,439,2026-01-17,pending
468,172,SSD,130,2026-01-04,canceled
469,309,Headphones,183,2025-10-04,canceled
470,844,Keyboard,65,2025-04-16,pending
471,497,Charger,46,2026-01-24,pending
472,227,Monitor,440,2025-10-07,completed
473,120,Keyboard,124,2026-01-17,completed
474,372,Keyboard,117,2025-11-17,refunded
475,782,USB Cable,11,2025-12-24,canceled
476,228,Keyboard,119,2025-06-07,pending
477,215,Keyboard,70,2025-11-20,refunded
478,80,Laptop,1239,2025-05-05,refunded
479,111,Laptop,1240,2026-02-02,completed
480,45,Mouse,34,2025-12-03,completed
481,943,RAM,83,2025-03-25,pending
482,93,Keyboard,119,2025-09-03,canceled
483,165,SSD,159,2025-07-17,pending
484,840,RAM,118,2025-04-07,completed
485,988,Headphones,150,2025-10-20,completed
486,220,SSD,164,2025-11-17,refunded
487,451,Mouse,26,2025-04-25,canceled
488,527,Monitor,416,2025-06-25,completed
489,478,Mouse,48,2025-12-24,pending
490,296,SSD,156,2025-04-23,completed
491,395,Headphones,169,2025-05-08,canceled
492,232,SSD,136,2025-07-11,canceled
493,878,Mouse,72,2026-03-12,refunded
494,14,Webcam,93,2025-05-25,completed
495,693,Mouse,22,2026-03-16,pending
496,105,Keyboard,69,2025-11-19,canceled
497,610,Charger,32,2025-06-22,pending
498,286,RAM,107,2025-04-09,canceled
499,966,Charger,47,2026-03-05,refunded
500,497,SSD,127,2026-02-18,pending
501,257,Webcam,81,2025-07-09,pending
502,,Laptop,1243,2025-10-05,completed
503,184,Charger,63,2025-05-14,canceled
504,99,Mouse,57,2025-09-19,refunded
505,678,Webcam,81,2025-07-16,canceled
506,554,SSD,111,2026-02-20,completed
507,122,Charger,53,2026-03-23,canceled
508,37,Laptop,1201,2025-10-31,canceled
509,442,Keyboard,84,2025-09-26,refunded
510,692,Webcam,92,2025-11-30,refunded
511,519,Laptop,1215,2025-11-21,canceled
512,,USB Cable,49,2025-04-09,canceled
513,47,Keyboard,118,2025-04-06,canceled
514,28,USB Cable,24,2025-05-14,completed
515,422,USB Cable,3,2026-01-31,pending
516,607,Mouse,73,2025-06-10,completed
517,174,Laptop,1224,2025-05-12,canceled
518,433,RAM,102,2025-10-12,refunded
519,603,Laptop,1210,2025-10-26,refunded
520,101,Webcam,56,2025-07-03,pending
521,784,USB Cable,10,2025-12-15,canceled
522,509,Mouse,68,2025-08-25,pending
523,588,Charger,76,2025-10-11,pending
524,735,RAM,76,2025-06-27,canceled
525,544,Webcam,77,2025-11-16,pending
526,844,Headphones,172,2025-05-22,canceled
527,205,Charger,50,2025-09-06,canceled
528,782,SSD,121,2026-03-04,completed
529,192,RAM,101,2025-11-26,pending
530,961,Webcam,67,2026-03-03,refunded
531,62,SSD,122,2025-05-15,canceled
532,765,Headphones,194,2025-06-06,refunded
533,934,Mouse,55,2025-11-09,pending
534,294,Keyboard,81,2025-06-30,pending
535,197,Laptop,1205,2025-11-10,canceled
536,447,Charger,66,2025-11-15,completed
537,30,Headphones,190,2025-12-10,canceled
538,873,Laptop,1236,2025-10-16,refunded
539,919,Mouse,35,2025-11-16,canceled
540,417,USB Cable,42,2025-09-27,completed
541,863,Keyboard,80,2025-05-23,completed
542,124,SSD,152,2026-01-18,canceled
543,615,Mouse,64,2025-07-17,canceled
544,400,Monitor,449,2026-01-06,refunded
545,220,Headphones,168,2025-08-09,refunded
546,503,SSD,133,2026-03-11,completed
547,700,Monitor,407,2025-06-22,pending
548,842,Headphones,141,2025-06-30,completed
549,964,Laptop,1234,2025-10-04,pending
550,655,USB Cable,57,2025-11-29,completed
551,454,Charger,25,2025-08-19,refunded
552,309,Mouse,74,2025-07-22,pending
553,165,Webcam,90,2025-04-25,canceled
554,417,Laptop,1207,2026-02-19,completed
555,483,Charger,84,2026-01-02,canceled
556,840,Mouse,67,2025-05-16,pending
557,,Charger,63,2026-01-10,canceled
558,54,Keyboard,105,2025-07-02,refunded
559,411,Monitor,430,2025-04-28,canceled
560,162,Monitor,423,2026-03-17,pending
561,812,USB Cable,28,2025-06-13,refunded
562,178,RAM,122,2026-03-07,canceled
563,425,USB Cable,11,2026-01-04,refunded
564,906,RAM,84,2025-05-08,completed
565,663,RAM,110,2025-10-02,pending
566,204,Headphones,184,2026-02-07,pending
567,615,Headphones,149,2025-10-25,completed
568,581,Mouse,15,2026-01-13,refunded
569,848,Webcam,57,2025-04-27,pending
570,883,Headphones,158,2025-07-29,refunded
571,212,RAM,83,2025-10-19,canceled
572,185,Charger,75,2025-07-05,pending
573,242,RAM,98,2025-07-01,pending
574,470,Mouse,15,2025-04-29,refunded
575,710,Charger,68,2025-04-10,pending
576,754,RAM,86,2025-07-18,completed
577,341,Monitor,420,2025-12-24,canceled
578,991,RAM,,2025-05-29,completed
579,391,Headphones,165,2026-01-13,canceled
580,43,RAM,81,2025-11-27,canceled
581,348,Webcam,58,2026-01-06,completed
582,146,Headphones,147,2025-10-11,canceled
583,893,Headphones,187,2026-02-09,canceled
584,898,Headphones,179,2025-08-18,canceled
585,169,USB Cable,47,2025-10-26,refunded
586,874,Webcam,53,2025-06-26,pending
587,37,Webcam,66,2025-11-30,pending
588,917,Webcam,52,2025-12-10,refunded
589,497,Webcam,81,2025-11-19,completed
590,127,USB Cable,5,2025-05-15,pending
591,173,SSD,162,2025-10-17,canceled
592,218,RAM,70,2025-06-29,pending
593,,Webcam,93,2026-02-23,completed
594,698,Mouse,40,2025-11-12,canceled
595,858,USB Cable,9,2025-08-06,completed
596,,Webcam,79,2026-01-02,canceled
597,994,Laptop,1231,2025-11-27,refunded
598,752,RAM,78,2025-08-24,pending
599,290,USB Cable,51,2025-09-07,completed
600,617,Charger,30,2025-08-31,refunded
601,790,Charger,30,2025-07-31,completed
602,799,Charger,43,2025-09-11,pending
603,443,Headphones,197,2025-07-06,pending
604,377,SSD,122,2026-03-07,refunded
605,275,RAM,108,2025-09-30,refunded
606,378,RAM,81,2025-12-11,refunded
607,526,USB Cable,29,2026-02-25,pending
608,954,Webcam,83,2025-06-15,completed
609,929,Webcam,69,2025-11-11,pending
610,308,Monitor,423,2025-04-24,refunded
611,79,Laptop,1222,2025-07-13,completed
612,476,RAM,122,2025-12-31,canceled
613,788,SSD,111,2026-01-27,completed
614,806,Keyboard,118,2025-11-11,refunded
615,722,Headphones,160,2025-04-21,refunded
616,828,Headphones,161,2025-06-19,pending
617,,Headphones,195,2025-04-27,completed
618,405,Mouse,15,2025-10-20,pending
619,415,RAM,116,2025-04-23,refunded
620,632,USB Cable,44,2025-07-06,refunded
621,139,Laptop,1202,2026-02-27,completed
622,193,Laptop,1203,2026-01-13,refunded
623,447,SSD,122,2025-03-27,completed
624,486,Charger,26,2026-03-06,completed
625,720,Webcam,,2025-11-26,refunded
626,,Monitor,408,2026-02-28,refunded
627,646,Charger,51,2025-05-12,refunded
628,568,Headphones,142,2025-09-22,refunded
629,743,RAM,129,2025-11-29,refunded
630,20,Charger,61,2025-11-26,canceled
631,664,Charger,81,2025-10-04,refunded
632,662,USB Cable,28,2025-05-08,refunded
633,197,Webcam,72,2025-03-29,refunded
634,931,USB Cable,58,2025-06-01,refunded
635,729,Charger,51,2026-01-22,canceled
636,865,Keyboard,104,2025-03-26,pending
637,684,Webcam,58,2025-08-26,pending
638,104,Charger,85,2025-10-05,refunded
639,49,Laptop,1212,2025-07-28,canceled
640,848,SSD,112,2026-03-22,completed
641,233,Mouse,50,2025-11-20,pending
642,804,USB Cable,49,2026-02-23,completed
643,918,Keyboard,119,2026-03-24,completed
644,449,Webcam,103,2026-03-04,completed
645,625,Mouse,67,2025-11-29,completed
646,121,Monitor,448,2025-04-08,canceled
647,453,SSD,141,2025-09-04,completed
648,839,Keyboard,72,2025-05-24,pending
649,788,Laptop,1205,2026-02-27,refunded
650,88,Headphones,163,2025-12-28,refunded
651,156,SSD,136,2026-02-17,pending
